x	        y	        
0.0000      35.0000   
44.8063   	45.2835   	
52.0376   	46.8732   	
57.8831   	48.1019   	
63.1129   	49.1511   	
68.0119   	50.0870   	
72.7212   	50.9418   	
77.3226   	51.7333   	
81.8685   	52.4723   	
86.3954   	53.1654   	
90.9301   	53.8171   	
95.4933   	54.4300   	
100.1015  	55.0058   	
104.7685  	55.5454   	
109.5065  	56.0490   	
114.3257  	56.5164   	
119.2359  	56.9471   	
124.2458  	57.3400   	
129.3636  	57.6940   	
134.5974  	58.0076   	
139.9548  	58.2792   	
145.4432  	58.5068   	
151.0702  	58.6882   	
156.8432  	58.8211   	
162.7694  	58.9030   	
168.8565  	58.9310   	
